stock_code,weight
300604,0.053893942132398995
002080,0.05227483213509751
300054,0.05022203936074105
002436,0.049579730472922676
002738,0.04821014047520533
600988,0.04607855658986908
002156,0.045804657701436685
002409,0.043619417705078746
601168,0.04296785603949803
688002,0.040602921598995124
688676,0.03802254660329576
300373,0.03695496438285284
002195,0.03679739104978213
688122,0.035408871607651875
002155,0.032084543835414654
603688,0.031129972170338936
000021,0.02961169772842495
300748,0.029091835507069168
000060,0.026845502733035275
603979,0.024550497736860286
688281,0.023343244961094592
000878,0.021838419963602633
002185,0.02021704996630492
301200,0.0172135616379774
002532,0.015959933862289
603077,0.014523453864683135
601233,0.013632037755057716
300003,0.011458352758680523
300285,0.010134109983109816
600126,0.007867784986887026
301536,0.006434455544831464
603699,0.006403260544883455
300570,0.005292140546735322
600884,0.005277068324538219
000629,0.0048638833252268605
688027,0.00391688388236075
600499,0.0033767572165942943
300567,0.0028142033286429943
600737,0.002668907773329598
002131,0.0018230305525171713
600879,0.0013071899978213501
002517,0.0011764699980392167
600808,0.001045751664923747
600282,0.0009150333318082778
300972,0.0007843133320261447
688347,0.0006535949989106751
002244,0.0005228749991285417
600295,0.00039215666601307233
000400,0.0002614383328976028
000683,0.00013071833311546947
